participant_id,beauvis_bar_geo,beauvis_bar_icon,vibratory_bar_geo,vibratory_bar_icon,beauvis_pie_geo,beauvis_pie_icon,vibratory_pie_geo,vibratory_pie_icon,beauvis_map_geo,beauvis_map_icon,vibratory_map_geo,vibratory_map_icon
5fb6caaf9b6574122a8ac1e4,4.4,5.1,3.0,4.25,,,,,,,,
6080672ef6a1abca3e8e9987,3.55,5.05,4.5,4.0,,,,,,,,
5d6af10e8fabb6001a45d483,5.25,4.7,4.25,3.0,,,,,,,,
5c8c59d99c57e70001a659a6,3.5999999999999996,5.550000000000001,5.5,2.25,,,,,,,,
610be22ca678aace90aabb37,4.0,3.85,2.75,1.0,,,,,,,,
607cabdfb9addc46d23a0f19,3.7499999999999996,4.5,4.25,1.25,,,,,,,,
615d5311a9fbf1f98aa62a5a,4.5,2.6,4.25,1.5,,,,,,,,
5f233d7f53212b0e22bf055d,5.3999999999999995,5.65,4.0,2.0,,,,,,,,
5e9757d83b0f220c5a60777d,5.15,3.3499999999999996,2.75,1.75,,,,,,,,
5e7e2eea6c12704dbb97187f,5.8,6.25,3.25,1.25,,,,,,,,
6076abf29334e7d0bed43785,3.75,2.1,4.5,4.0,,,,,,,,
611eb4cfb28943e584e11af0,4.2,5.75,6.0,2.5,,,,,,,,
5f9c2359530d3e067a300bd6,4.7,4.05,4.0,4.5,,,,,,,,
5fa09ce3f99e1611b5b1b9d7,3.75,4.25,3.75,2.0,,,,,,,,
616c2e23cdae23ccf15ae162,3.9,5.050000000000001,5.25,2.75,,,,,,,,
5b755869d5d7a80001b45a1e,5.75,5.1,4.75,2.75,,,,,,,,
614d2250108917feb4ab9172,3.6,5.35,2.5,2.0,,,,,,,,
60a68725b2b424dc0d7ce793,3.5,4.75,3.5,1.75,,,,,,,,
5f8359dc31c65e0fca60103f,5.2,5.3,4.25,3.5,,,,,,,,
62fccb9647eb07d62e9b6baa,4.3,4.8999999999999995,3.0,1.0,,,,,,,,
63d3fb99f3e4f62e5a10fa02,4.1,3.1,4.0,3.0,,,,,,,,
60f1d99a67bc1538a6dadc94,2.4000000000000004,3.35,4.5,3.5,,,,,,,,
60561bed5ea5ad8dbe3fae07,6.0,3.8499999999999996,3.75,1.5,,,,,,,,
5e18bf202d112418cfd94a3b,3.85,3.5,5.0,2.75,,,,,,,,
5ed52e918cdc6708e5da5b2d,3.6500000000000004,4.1,4.25,3.25,,,,,,,,
58dd0b15402260000102895b,3.0999999999999996,4.3500000000000005,2.75,2.5,,,,,,,,
60fc39cce64c39328a7c8904,2.5,2.8,4.75,4.75,,,,,,,,
5a97716fdbdb470001eec94f,3.75,5.75,4.75,1.0,,,,,,,,
604ce6075c751bc1e1a11dd5,5.25,5.25,5.25,5.25,,,,,,,,
58d7ab1b31506e0001447859,6.55,6.35,5.25,2.0,,,,,,,,
5ed8cf4782a6eb04ddf9962d,3.8999999999999995,4.05,3.5,2.25,,,,,,,,
6347200d8ded5172ec43e0bb,4.05,5.25,5.5,3.0,,,,,,,,
6080339c5ec5aa877f5cb5fa,4.15,4.4,5.25,5.0,,,,,,,,
63ed27349738654dde4655ae,5.65,4.7,2.0,1.5,,,,,,,,
63469b33c8cdbd6d3067c28b,4.0,3.5,3.25,2.0,,,,,,,,
61478863b1150532dec6c491,4.3,3.15,3.5,3.25,,,,,,,,
615f04836985bb3ce5815f3c,6.9,5.65,7.0,7.0,,,,,,,,
5f108dea719866356702d26f,3.5,4.949999999999999,3.25,2.25,,,,,,,,
5eeb78fa8931bf2d402dae9e,4.0,4.699999999999999,3.0,2.0,,,,,,,,
615118f6c3741c00c9e84a70,4.0,4.2,4.0,2.25,,,,,,,,
605b98c83da1ded576bcf096,3.8,4.35,3.5,2.75,,,,,,,,
610a52647a452dee7ca89360,4.95,3.8499999999999996,3.5,4.25,,,,,,,,
5e999ce87c90241d0009d8c5,3.5,4.1,5.0,3.5,,,,,,,,
6311b30d2049ac9c91901586,3.95,4.25,2.0,5.5,,,,,,,,
60ecb8ec8caf2cf4dc27bd8e,3.25,5.45,2.5,1.25,,,,,,,,
60143223fd24823c7837f224,3.6,5.25,3.25,1.0,,,,,,,,
60e81342fbceb05029e8f5d9,4.5,5.0,5.0,3.25,,,,,,,,
60e96b12a9bf38cf4eb19c56,4.35,5.5,3.25,3.25,,,,,,,,
611d08ce4a184b5b3334a088,3.25,1.5,3.25,1.5,,,,,,,,
60d242e7d32408e23e2ed2a4,4.6,5.05,3.0,2.0,,,,,,,,
639395d48d1ae6def5354ecc,5.05,4.3500000000000005,2.5,3.25,,,,,,,,
602fda3f198a20d52932a9a3,3.0,3.25,3.0,3.25,,,,,,,,
640755f843d4a1f72e35f05e,2.45,4.65,2.75,5.25,,,,,,,,
601d922bc0e663137b95ea2f,,,,,3.25,5.1,5.0,5.0,,,,
5f67904169a51c3b06d32fa3,,,,,4.1,3.05,3.5,1.0,,,,
57262ce40e21cd0008ce5d22,,,,,4.0,3.7499999999999996,3.25,2.0,,,,
611f98e260d965b724ec34d7,,,,,6.05,6.3,3.75,1.0,,,,
5e6919c9d1e0d41c51c0a182,,,,,3.85,4.6,4.5,4.5,,,,
6102036fb0b75f1b720e6861,,,,,6.1,4.45,3.75,4.0,,,,
612f59e336076f7678b3b3b6,,,,,4.65,1.0,3.0,1.25,,,,
5aeab425f00c7f00018f74d0,,,,,5.4,5.0,3.0,2.75,,,,
615b5ddab1de3c02771daed5,,,,,4.5,5.5,5.0,3.75,,,,
5f72473314afc916af99e341,,,,,4.6,5.0,3.0,4.25,,,,
6060b63e4ccfcf7b44479d8b,,,,,4.9,3.45,5.0,2.5,,,,
5cb9b802ffec430018c8b6e5,,,,,4.9,5.6,2.25,1.5,,,,
5c573e54e9813700018acc31,,,,,5.3,5.35,4.5,2.75,,,,
6135ffad024018e319264314,,,,,4.95,3.05,4.5,2.0,,,,
5c35dd34be3cea000117948f,,,,,3.8499999999999996,1.7,2.0,2.75,,,,
5f2448855226b0000a8129e1,,,,,3.8,3.4499999999999997,4.25,2.25,,,,
5af43b1ea37f390001276490,,,,,3.4,4.7,6.25,4.0,,,,
5cfddbd3ee0b1500019fa84c,,,,,2.0,3.2,5.0,3.75,,,,
5b3a48e8b6b4410001613060,,,,,5.1499999999999995,4.8999999999999995,4.0,2.5,,,,
5e86116068b86421a020e345,,,,,4.45,4.95,4.75,2.75,,,,
5d9ca4eff93dba0013e68c11,,,,,3.5,4.0,4.0,2.5,,,,
5d06461e51372f001a7b2a2c,,,,,5.6,5.1,2.0,1.25,,,,
60f69afe109d7b0fa70bd044,,,,,7.0,7.0,7.0,7.0,,,,
5f7b46cae9a1ad0c43e4de70,,,,,4.25,6.0,4.25,3.25,,,,
5caddec9facb4c0016ed3652,,,,,4.8,6.0,3.25,1.75,,,,
6082f7e90a6e0ea1f8c6d7cb,,,,,3.6,3.65,6.0,5.75,,,,
61760b30f2c7886886924db1,,,,,2.75,3.85,5.5,3.75,,,,
5fe230ee29598a57972db630,,,,,5.5,5.3,2.5,1.5,,,,
614d9ea7c87980229c834d21,,,,,6.5,7.0,4.75,1.0,,,,
604b169fe4b7991ec08da3a6,,,,,3.1999999999999997,6.300000000000001,5.5,1.0,,,,
5ef0e873ba594769fa910258,,,,,3.3499999999999996,4.1499999999999995,2.5,1.75,,,,
5f9aba6600cdf11f1c9b915c,,,,,6.7,4.05,2.75,3.25,,,,
5f600669b846780f0fe45709,,,,,3.65,3.7,5.75,3.25,,,,
5d7d467f306346001a7a6844,,,,,5.0,5.1499999999999995,3.5,1.0,,,,
5aca226ee734400001da63d0,,,,,5.8,5.25,4.25,2.75,,,,
5d1e4a3ed4b9d60001ec8f1c,,,,,4.2,3.8000000000000003,3.75,3.75,,,,
5db050bee16e28001752bc92,,,,,3.8499999999999996,5.05,4.5,4.0,,,,
5fe74f166079e1553cde4cc8,,,,,3.35,4.6,6.0,3.5,,,,
610701dbe42da278f1cbe2cf,,,,,4.6000000000000005,4.75,3.25,1.25,,,,
63f793ffba7e890a6efd936e,,,,,4.2,4.6,5.5,4.25,,,,
5de631043cf27959fe70269c,,,,,3.8000000000000003,5.449999999999999,5.25,2.75,,,,
5ea60caf0a53a460c5782134,,,,,4.5,4.95,4.5,4.5,,,,
5f65445477a895087bbfe933,,,,,5.3,5.1,2.75,2.25,,,,
60394fe628b8f044fa78fd2f,,,,,4.4,5.4,4.25,5.0,,,,
60e9ec87eaec81c024447f04,,,,,,,,,3.9499999999999997,3.15,3.25,1.75
61337e0581b2070f40e3511d,,,,,,,,,4.95,2.1,3.0,3.0
615c4bfb2e8a77519a94d8f6,,,,,,,,,3.6,3.55,2.75,1.5
5f4656f99b3c15021b92b9e0,,,,,,,,,3.5000000000000004,2.15,4.75,4.5
5db43b6a2f45e7000bb7ab5c,,,,,,,,,2.85,3.15,4.75,5.0
608c349d8e7f57e8f84d3a27,,,,,,,,,4.35,3.85,2.0,2.75
5f4bf4536b68b57e64ad4f2d,,,,,,,,,2.7,2.55,4.5,1.75
6310d50b4149e6ee29fbcf5c,,,,,,,,,2.95,2.3499999999999996,4.0,4.5
60e93f64ec69ecdac3107555,,,,,,,,,5.15,2.75,3.25,1.0
5db0588f2fbdc6001a2be11f,,,,,,,,,5.55,5.700000000000001,2.5,1.25
5c4cea77889752000156917d,,,,,,,,,2.7,2.8000000000000003,5.25,1.0
613f59d7f0f631a278aca6e8,,,,,,,,,3.0,2.5,5.25,5.25
5cd052fcd6d8dc0013f84e66,,,,,,,,,3.95,4.1,3.0,2.25
5e9b05adc6ea2c0009bab1e0,,,,,,,,,2.9,3.5,4.75,3.5
6159f1937244359ad34189e3,,,,,,,,,4.35,5.1,5.0,4.25
5bb2a0148f3bd70001e5633f,,,,,,,,,1.6500000000000001,2.35,2.5,2.25
5cdeaeb3557fbd00018a2c59,,,,,,,,,5.35,3.3,3.75,3.0
613b6b255222c19fe62f4a04,,,,,,,,,4.5,6.300000000000001,6.75,3.25
6136aa846e80ebd7daf6e148,,,,,,,,,3.9999999999999996,3.2,4.75,1.75
5fd0c81fc79aef1882cbee94,,,,,,,,,5.05,5.05,1.75,2.5
5c8bafb53b6f3d00013d7c30,,,,,,,,,2.7,3.0000000000000004,1.5,2.25
60754f7b6e46fd85472ed45c,,,,,,,,,3.3499999999999996,3.45,3.5,2.0
61656a7e58d53cbb92ade865,,,,,,,,,3.55,4.95,3.0,4.5
60a50457d02bfc23c02d4717,,,,,,,,,3.6,2.75,2.25,2.0
5e60f63ee6385a000bcbffc9,,,,,,,,,4.9,4.05,2.0,1.75
5e98b398e4a84f0eb3755e51,,,,,,,,,4.0,3.9,3.5,4.0
614083f44ae49152b80502a1,,,,,,,,,4.9,2.4000000000000004,5.0,2.0
60513ec07ee46769ed029be4,,,,,,,,,4.25,3.9499999999999997,3.75,3.75
5eeb40268b898027a055bfa3,,,,,,,,,5.9,1.0,1.75,2.75
5c3b31ef2fd47d00013d4468,,,,,,,,,4.05,2.55,4.75,5.5
5f4e12f4bfcaa83ec7f3f5f0,,,,,,,,,2.5,4.05,5.0,3.0
63bc6908f191addbce2824a2,,,,,,,,,5.25,4.050000000000001,3.75,3.75
63e51ff21f93dcf52c112028,,,,,,,,,3.9,3.3,2.0,1.75
631610af8e747093cd90e00d,,,,,,,,,4.55,3.25,1.0,1.25
5eaecb0824839e59ed3523eb,,,,,,,,,3.45,3.0,4.75,3.5
5f2af9bc1a903c473d55cb40,,,,,,,,,4.1,4.049999999999999,4.25,5.0
63072cbb8d31e73a4348b374,,,,,,,,,3.45,2.7,1.75,1.75
58aca85e0da7f10001de92d4,,,,,,,,,4.25,2.0,1.75,1.75
5edc3d681a69d49159555f91,,,,,,,,,2.3,2.8,3.5,3.75
5e874a734809220480b4a4fb,,,,,,,,,4.15,2.95,3.5,4.25
5f452661c5a1b50a817ab094,,,,,,,,,4.050000000000001,2.7499999999999996,5.75,4.75
5d68c8aa40524c00189e8ac2,,,,,,,,,3.1500000000000004,4.1,5.75,2.75
60b6a69a471d19c2c080aff8,,,,,,,,,5.65,2.0,5.25,3.25
5eb2907c8aa2320009f2d5c2,,,,,,,,,3.5,3.7,4.75,4.0
63d6d82c373e6d874185cfb9,,,,,,,,,2.15,4.6,4.0,2.0
63d7a49c944973af17afde29,,,,,,,,,3.15,2.7,6.25,5.5
5cf8012a542f5400196a1493,,,,,,,,,5.050000000000001,4.25,5.25,3.75
62d5a03c24664b957d6c22e1,,,,,,,,,2.05,1.25,4.75,4.0
60fc93a0ecef80f3a64f2c60,,,,,,,,,3.95,3.0,3.25,5.25
611e69199102a9ea07155a4e,,,,,,,,,3.25,2.75,4.25,4.25
5fcc24a22987de29caf1c5c3,,,,,,,,,3.4,3.1500000000000004,4.5,2.75
5fc26d71c9e79a327ac24f7f,,,,,,,,,2.5,3.0,5.0,4.0
5d7ea5c53338120001abae9e,,,,,,,,,4.0,2.85,4.25,1.25
