participant_id,beauvis_pie_geo,beauvis_pie_icon,vibratory_pie_geo,vibratory_pie_icon
c6e521a5-0831-4172-b8b2-66dfe945a24d,3.25,5.1,5.0,5.0
dddc42d1-3f72-4f37-b438-eea0cd14fca0,4.1,3.05,3.5,1.0
03c7c8be-91dd-4fb3-9a93-f214f1c456b2,4.0,3.7499999999999996,3.25,2.0
3a4124d9-7d96-4a60-bcfb-68b04e7fb661,6.05,6.3,3.75,1.0
3f871e52-8664-4df6-a9e6-0cb2553b38e9,3.85,4.6,4.5,4.5
020c669f-3fcf-4fe1-87ef-c91557b8178a,6.1,4.45,3.75,4.0
a3f6e3fd-b776-47e4-8173-e6d2e49f6032,4.65,1.0,3.0,1.25
c6720fce-2983-4290-b004-3d7c42d3eca5,5.4,5.0,3.0,2.75
0e67f8b4-3c42-43aa-bced-d8cda63fc5eb,4.5,5.5,5.0,3.75
56405fd0-e189-4028-8b13-b0c3fef209c5,4.6,5.0,3.0,4.25
b25e2c92-e785-4390-8fd7-5dc4e2cc7d7c,4.9,3.45,5.0,2.5
09bba4d9-b967-467a-8130-ddf46356ad55,4.9,5.6,2.25,1.5
cba508d2-72de-4b76-9d60-1b9a34427b8a,5.3,5.35,4.5,2.75
7eb455c6-d00c-476a-aa1a-369790416db8,4.95,3.05,4.5,2.0
8a72ea2f-45d4-4451-ade5-d28f5f170d58,3.8499999999999996,1.7,2.0,2.75
59067d43-8479-43ce-833c-c285eeb9b641,3.8,3.4499999999999997,4.25,2.25
b87af77c-a7b5-41aa-82a6-dd91959a9d13,3.4,4.7,6.25,4.0
a4dcdcbf-f07d-485a-936e-20bd4c3a4cd7,2.0,3.2,5.0,3.75
e5639ec2-c284-4916-aa24-46149c5fae0a,5.1499999999999995,4.8999999999999995,4.0,2.5
30043d00-c474-421c-a5a0-e5c9eb5914a6,4.45,4.95,4.75,2.75
1b0c60a9-2b22-4fc8-a90e-e9c387d255b8,3.5,4.0,4.0,2.5
495732f4-d1bc-4608-abe4-d38855ede69c,5.6,5.1,2.0,1.25
5b2205bd-33f7-4200-b348-f1736b862821,7.0,7.0,7.0,7.0
e200b3a0-bf4d-4464-8019-aad31c65d3a9,4.25,6.0,4.25,3.25
cdbee915-68c9-43b8-b7df-5a3b20661b5c,4.8,6.0,3.25,1.75
970f40f0-f55b-45c9-9973-42859fc03f27,3.6,3.65,6.0,5.75
527b8e48-4f9b-47b0-8942-b1b83c0c0ba4,2.75,3.85,5.5,3.75
a7647b6b-1321-4175-a0c4-98e7cb2cfcad,5.5,5.3,2.5,1.5
d0d6b7cb-8f5b-4fe0-bb85-a0b445556e7a,6.5,7.0,4.75,1.0
a51840c2-3f46-4aa5-a2f9-df4cff12b349,3.1999999999999997,6.300000000000001,5.5,1.0
a290e6ef-b661-4fd9-9f92-4863607d4b7d,3.3499999999999996,4.1499999999999995,2.5,1.75
4f154643-75b5-4a25-82a0-a30b76c8e1ad,6.7,4.05,2.75,3.25
7822c18c-2c05-430b-bc1b-fdc45d0b0892,3.65,3.7,5.75,3.25
4b28d11c-34b9-4163-a51d-9823d3805997,5.0,5.1499999999999995,3.5,1.0
c397041f-ba4a-4927-809b-887291f06e55,5.8,5.25,4.25,2.75
9a5d733a-b39b-462b-9c54-1b4ef33a0742,4.2,3.8000000000000003,3.75,3.75
666fae11-2777-4461-861c-478d1d394936,3.8499999999999996,5.05,4.5,4.0
8d4838b4-4631-418f-8969-bea67e51d9b1,3.35,4.6,6.0,3.5
feb5872f-0555-470c-bb46-0ae2ef8db911,4.6000000000000005,4.75,3.25,1.25
506757ad-4432-41bb-bc43-8ccfce221b87,4.2,4.6,5.5,4.25
289ff773-3341-438d-9d4a-ae0067eecdaa,3.8000000000000003,5.449999999999999,5.25,2.75
2ebd2f6b-4e6e-40a5-8bb1-333a5f8ad440,4.5,4.95,4.5,4.5
7339a1d4-aada-41bf-8f31-df477d97bef8,5.3,5.1,2.75,2.25
97ea41c5-2a01-44a2-8d7c-797dcb5fb727,4.4,5.4,4.25,5.0
