chart,beauvis_mean,beauvis_median,beauvis_mode,ranked_first,vibratory_mean,vibratory_median,vibratory_mode
BarGeo1,3.837735849056603,3.8,[4.0],4,5.132075471698113,5.0,[6.0]
BarGeo2,3.9169811320754726,3.6,[3.0],13,3.0,3.0,[2.0]
BarGeo3,4.69811320754717,4.8,[6.0],16,3.830188679245283,5.0,[5.0]
BarGeo4,4.445283018867926,4.8,"[5.0, 6.0]",20,3.660377358490566,4.0,[5.0]
BarIcon1,4.7132075471698105,5.0,[5.0],13,2.018867924528302,1.0,[1.0]
BarIcon2,4.290566037735848,4.4,[6.0],19,3.4150943396226414,3.0,[5.0]
BarIcon3,5.071698113207546,5.2,"[5.0, 6.0]",16,2.8867924528301887,2.0,[1.0]
BarIcon4,3.7886792452830185,3.8,"[3.4, 5.0]",5,2.9245283018867925,3.0,[1.0]
PieGeo1,4.368181818181816,4.6,[5.0],4,5.0227272727272725,5.0,[5.0]
PieGeo2,4.954545454545455,5.1,"[4.6, 5.4]",17,4.295454545454546,5.0,[5.0]
PieGeo3,4.4,4.699999999999999,[5.0],13,3.727272727272727,4.0,[5.0]
PieGeo4,4.331818181818181,4.6,[4.6],10,3.6363636363636362,4.0,[5.0]
PieIcon1,4.8090909090909095,5.0,[6.0],13,2.5454545454545454,2.0,[2.0]
PieIcon2,4.595454545454546,5.0,"[5.0, 6.0]",10,2.590909090909091,2.0,[1.0]
PieIcon3,4.690909090909091,4.6,[4.4],9,2.9545454545454546,2.0,[2.0]
PieIcon4,4.4772727272727275,4.8,[6.0],12,3.5681818181818183,3.0,[5.0]
MapGeo1,3.5735849056603777,3.6,"[2.0, 2.4, 5.0]",6,4.377358490566038,5.0,[6.0]
MapGeo2,3.1471698113207545,3.0,[2.0],8,3.0754716981132075,3.0,[1.0]
MapGeo3,4.252830188679244,4.6,[6.0],18,4.433962264150943,5.0,[5.0]
MapGeo4,4.267924528301887,4.4,"[4.6, 5.0]",21,3.4150943396226414,3.0,[2.0]
MapIcon1,3.550943396226415,3.4,[3.0],18,3.6792452830188678,4.0,[2.0]
MapIcon2,3.3245283018867915,3.2,[2.0],16,2.3207547169811322,2.0,[1.0]
MapIcon3,2.656603773584906,2.0,"[1.0, 2.0]",2,3.547169811320755,4.0,[5.0]
MapIcon4,3.5811320754716984,3.6,[2.0],17,2.811320754716981,2.0,[1.0]
